Autor,Objeto (é imagem)?,Objeto,Enunciado,Alternativa a,Alternativa b,Alternativa c,Alternativa d,Alternativa e,Resposta,"Resolução 
(caso discursiva)","Origem
(Fonte)",Ano,"Disciplinas 
(Separadas por vírgula)",Grau de dificuldade,Nível de Ensino,"Tags
(Separadas por vírgula)"
Mupi,N,"<p><strong>A TOUPEIRA</strong></p>

<p>Eis a história da toupeira – um animal cego – que disse à mãe que estava enxergando. A mãe colocou-a à
prova: deu-lhe um grão de incenso e perguntou o que era.</p>
<p>- Um pedregulho – respondeu a filha.</p>
<p>- Minha filha - disse a mãe -, além de cega, perdeste o olfato.</p>
<p><small>(Esopo, Fábulas)</small></p>","<p>Toda fábula possui uma moral que nos leva a refletir sobre seu significado. Indique a opção que apresenta a moral
adequada à história apresentada.</p>",“A corda sempre arrebenta do lado mais fraco”.,“A glória fútil é fonte de todos os males”.,“O impostor promete o impossível: basta um nada para confundi-lo”.,“Errando é que se aprende”.,“Quem tudo quer tudo perde”.,c,,Cotuca,2010,2,E,3,"fábula, esopo, moral da história, interpretação"
Mupi,N,"<p><strong>PORTÃO</strong></p>
<p>O portão fica bocejando, aberto</br>
para os alunos retardatários.</br>
Não há pressa em viver</br>
nem nas ladeiras duras de subir,</br>
quanto mais para estudar a insípida cartilha.</br>
Mas se o pai do menino é da oposição</br>
à ilustríssima autoridade municipal,</br>
prima da eminentíssima autoridade provincial,</br>
prima por sua vez da sacratíssima</br>
autoridade nacional,</br>
ah, isso não: o vagabundo</br>
ficará mofando lá fora</br>
e leva no boletim uma galáxia de zeros.</br>
A gente aprende muito no portão</br>
fechado.</p>

<p><small>(Carlos Drummond de Andrade, Menino Antigo, Livraria José Olympio Editora, p.49)</small></p>","<p><strong>Glossário:</strong></p>
<p>insípida: sem graça, sem sabor</br>
cartilha: livro de alfabetização</br>
eminentíssima: muito importante</br>
provincial: da província, do Estado</br>
sacratíssima: muito sagrada</p>

<p>O portão fechado ensina que:</p>
<p>I. aprender as lições da cartilha é algo que se faz por dever, não por prazer, uma vez que não tem a menor
graça;</br>
II. sempre há um novo dia, trazendo novas oportunidades; por isso, não se deve ter pressa em viver;</br>
III. a escola que permite a entrada de alunos atrasados, quando estes são filhos, parentes ou
apadrinhados de gente importante, não pratica a igualdade democrática;</br>
IV. a escola, instituição que, depois da família, é a principal responsável pela educação das novas
gerações, costuma ser muito compreensiva com os atrasos dos alunos;</br>
V. a concessão de privilégios relacionados a parentesco, importância social, detenção de poder político é
uma prática generalizada no Brasil.</p>
<p>Sobre a interpretação do poema, estão CORRETAS as afirmações:</p>",I e II,III e IV,III e V,II e IV,I e V,c,,Cotuca,2010,2,H,3,"interpretação de poema, poesia, drummond, poema, carlos drummond de andrade"
Mupi,N,"<p>“Podem me prender no</br>
quarto eu saio pela janela.</br>
Podem trancar a janela eu</br>
fujo pelo telefone.</br>
Podem cortar o telefone</br>
Eu pulo dentro de um</br>
livro.”</p>
<p><small>(Léo Cunha)</small></p>","<p>Leia com atenção:</p>
<p>Identifique qual das afirmativas abaixo NÃO corresponde às informações sugeridas pelo texto:</p>","Há a intenção de alguém em capturar, aprisionar o eu lírico. De forma criativa, elementos como “janela”,
“telefone” e “livro” são indicados como rotas de fuga desse eu lírico para garantir sua liberdade.","O poema não nos revela a identidade daquele que tem por objetivo tirar a liberdade de ir e vir do eu
lírico porque tal informação não é relevante.","Algumas estratégias são citadas para impedir o eu lírico de fugir. Desse modo, o texto pode sugerir que
esse eu lírico representaria uma ameaça, que, a qualquer custo, deveria ser mantida em confinamento.","No contexto de um texto que se utiliza de linguagem poética, “janela”, “telefone” e “livro” são elementos
da linguagem figurada que indicam meios de alcançar a liberdade; afinal, por eles, pode-se escapar para o
mundo.","No contexto de um texto que se utiliza de linguagem poética, “janela” e “telefone” indicam meios que
levam à liberdade; mas esse não é o caso do “livro”, que não permite o “escapar” para o mundo.",e,,Cotuca,2010,2,M,3,"interpretação de poema, poesia, léo cunha, poema, eu lírico, linguagem poética"
Mupi,N,"<p><strong>DE COMO NÃO LER UM POEMA</strong></p>

<p>Há tempos me perguntaram umas menininhas, numa dessas pesquisas, quantos diminutivos eu
empregara no meu livro <em>A Rua dos Cataventos</em>. Espantadíssimo, disse-lhes que não sabia. Nem tentaria saber,
porque poderiam escapar-me alguns na contagem. Que essas estatísticas, aliás, só poderiam ser feitas
eficientemente com o auxílio de robôs. Não sei se as menininhas sabiam ao certo o que era um robô. Mas a
professora delas, que mandara fazer as perguntas, devia ser um deles.</p>
<p>E mal sabia eu, então, que estava dando um testemunho sobre o estruturalismo – o qual só depois vim
a conhecer pelos seus produtos em jornais e revistas. Mas continuo achando que um poema (um verdadeiro
poema, quero dizer), sendo algo dramaticamente emocional, não deveria ser entregue à consideração de robôs,
que, como todos sabem, são inumanos.</p>
<p>Um robô, quando muito, poderá fazer uma meticulosa autópsia – caso fosse possível autopsiar uma
coisa tão viva como é a poesia.</p>
<p>Em todo caso, os estruturalistas não deixam de ter o seu quê de humano...</p>
<p>Nas suas pacientes, afanosas, exaustivas furungações, são exatamente como certas crianças que
acabam estripando um boneco para ver onde está a musiquinha.</p>

<p><small>(Mário Quintana – Textos Selecionados)</small></p>","<p><strong>Glossário:</strong></p>
<p>Estruturalismo: tendência metodológica que busca a
apreensão de estruturas concebidas como modelos
matemáticos, mecânicos.</br>
Afanosas: trabalhosas, cansativas.</br>
Furungações: buscas exaustivas de dados que não
existem.</p>

<p>Acerca do texto lido, pode-se afirmar que:</p>
<p>I. O poeta se espantou com a pergunta, porque ela lhe foi feita por umas menininhas.</br>
II. Os estruturalistas, como os robôs, fazem uma análise tão cuidadosa do poema, que acabam por
desfigurá-lo.</br>
III. O poeta e a professora estavam de acordo sobre a importância dos diminutivos no texto literário.</br>
IV. Os robôs são inumanos e os estruturalistas, com seu excessivo apego a detalhes, às vezes tornam-se
desumanos.</br>
V. Os poemas, por demandarem sensibilidade do leitor, não deveriam ser analisados por professores que
agem como robôs.</p>
<p>Estão CORRETAS as seguintes interpretações do texto de Mário Quintana:</p>",I – II – IV,II – III – IV,I – IV - V,I – III – V,II – IV – V,e,,Cotuca,2010,2,H,3,"interpretação, mario quintana, estruturalismo"
Mupi,N,"<p><strong>DE COMO NÃO LER UM POEMA</strong></p>

<p>Há tempos me perguntaram umas menininhas, numa dessas pesquisas, quantos diminutivos eu
empregara no meu livro A Rua dos Cataventos. Espantadíssimo, disse-lhes que não sabia. Nem tentaria saber,
porque poderiam escapar-me alguns na contagem. Que essas estatísticas, aliás, só poderiam ser feitas
eficientemente com o auxílio de robôs. Não sei se as menininhas sabiam ao certo o que era um robô. Mas a
professora delas, que mandara fazer as perguntas, devia ser um deles.</p>
<p>E mal sabia eu, então, que estava dando um testemunho sobre o estruturalismo – o qual só depois vim
a conhecer pelos seus produtos em jornais e revistas. Mas continuo achando que um poema (um verdadeiro
poema, quero dizer), sendo algo dramaticamente emocional, não deveria ser entregue à consideração de robôs,
que, como todos sabem, são inumanos.</p>
<p>Um robô, quando muito, poderá fazer uma meticulosa autópsia – caso fosse possível autopsiar uma
coisa tão viva como é a poesia.</p>
<p>Em todo caso, os estruturalistas não deixam de ter o seu quê de humano...</p>
<p>Nas suas pacientes, afanosas, exaustivas furungações, são exatamente como certas crianças que
acabam estripando um boneco para ver onde está a musiquinha.</p>

<p><small>(Mário Quintana – Textos Selecionados)<small></p>","<p><strong>Glossário:</strong></p>
<p>Estruturalismo: tendência metodológica que busca a
apreensão de estruturas concebidas como modelos
matemáticos, mecânicos.</br>
Afanosas: trabalhosas, cansativas.</br>
Furungações: buscas exaustivas de dados que não
existem.</p>

<p>Ainda sobre o texto de Mario Quintana, assinale a alternativa INCORRETA. O autor destila uma ironia amarga
contra:</p>",os que não sabem ler poemas,as crianças que destroem bonecos,os professores que agem como robôs,os especialistas destituídos de sensibilidade,os que fazem estatísticas sobre diminutivos,b,,Cotuca,2010,2,M,3,"interpretação, mario quintana, estruturalismo, ironia"
Mupi,S,cotuca-2010/img001.png,"<p>Observe a tirinha.</p>
<p>A partir da leitura atenta da tira, assinale a alternativa INCORRETA:</p>","Há uma crítica indireta ao seguinte fato: certos textos produzidos pelos acadêmicos são
incompreensíveis para os leitores comuns.","Segundo o próprio Calvin, ele passou a gostar de escrever quando descobriu o que fazer para redigir
bem. Mas, na verdade, essa descoberta foi bastante equivocada.","Para Calvin, escrever bem é conhecer e usar palavras cujos significados sejam comuns e facilmente
compreensíveis.","Nos 2o e 3o quadrinhos, uma análise atenta do vocabulário e das frases utilizados pelo menino indica
um modo de falar que busca sofisticação; é como se Calvin passasse a falar “por escrito”.","A tirinha em questão critica, de forma implícita, uma lamentável realidade: muitas vezes, as atividades
promovidas por algumas escolas levam os estudantes a crer que a boa redação é aquela construída de
forma complexa, com o uso de palavras raras.",c,,Cotuca,2010,2,H,3,"interpretação, tirinha, calvin e haroldo, ironia, escrita, padrão de escrita, escrita acadêmica"
Mupi,,,"Todas as construções a seguir foram retiradas de redações de alunos do Ensino Fundamental. Avalie-as e
assinale aquela cuja redação está CLARA, CORRETA e COERENTE:","“O problema dos menores infratores no Brasil é culpa do governo e dos pais: do governo pois não
promove políticas públicas para acabar com a pobreza, uma vez que diminuindo a pobreza diminue
também o número de menores infratores. Dos pais pois eles não educam seus filhos”.","“Nota-se que os jovens não têm hábito de ler por razões econômicas e políticas: na família não há
incentivo, não há escolas para todos, a falta de dinheiro e também por falta de vontade”.","“A maioria dos estudantes não consegue se dar bem nos vestibulares concorridos, onde exigem um
forte conhecimento das matérias do ensino médio”.","“O alicerce mais precioso de um país é a educação de seu povo. No Brasil, por exemplo, infelizmente, a
escola pública ainda está falida, promovendo alunos que nem sabem ler e escrever, além da enorme
quantidade de  ́analfabetos funcionais’”.","“A canção fala da história de um casal que se ama muito e que um deles tenta esquecer do outro, mas
não consegue, porque ninguém mais pode mexer tanto com os seus sentidos e instintos”.",d,,Cotuca,2010,2,H,3,"escrita, coerência, norma padrão"
Mupi,,,"<p>“Como toda menina, Maria queria uma amiga que estivesse sempre disposta a brincar com ela e a levasse a
sério.”</p>
<p>A partir da leitura do trecho acima, é CORRETO afirmar que:</p>","Se a expressão “toda menina” fosse substituída por “toda a menina”, não haveria mudança de sentido.","Sem a presença do artigo, a expressão “toda menina” indica uma menina qualquer.","Em “queria uma amiga”, ocorre uma definição sobre o tipo de amiga específica que Maria quer ter.","Em “a levasse a sério”, temos dois artigos definidos femininos usados no singular.","Na expressão “uma amiga”, temos indicada a quantidade de amigas que Maria quer ter.",b,,Cotuca,2010,2,M,3,"escrita, artigo, artigo definido, norma padrão"
Mupi,,,"<p>O trecho a seguir foi retirado de uma carta aberta de Danuza Leão a Dona Marisa, cobrando sua atuação como
primeira-dama no segundo mandato do Presidente Lula.</p>
<p>”Ah, Dona Marisa, esse país é cheio de problemas, e a senhora poderia ajudar em alguma coisa. Já existe o Bolsa
Família e o Fome Zero, mas ainda há muita coisa a ser feita”.</p>

<p>(Danuza Leão, Carta a Dona Marisa, Folha de S. Paulo, 05/11/2006)</p>
<p>Em relação ao uso da palavra <strong>esse</strong> dentro do contexto, avalie as afirmações a seguir:</p>
<p>I. A autora certamente se refere a qualquer país.</br>
II. A autora se refere adequadamente ao Brasil.</br>
III. A autora se refere ao Brasil de modo inadequado.</br>
IV. A autora se refere adequadamente a um outro país.</br>
V. A autora acaba se referindo equivocadamente a um outro país.</p>
<p>Está CORRETA a alternativa:</p>",III e V,"I, III e V",II e IV,"II, IV e V",II e V,a,,Cotuca,2010,2,H,3,"pronome demonstrativo, norma padrão, esse, este, interpretação"
Mupi,,,"<p>Nos exemplos de frases abaixo, há variações de sentido relacionadas ao uso de conectores diferentes.</p>
<p>1. Fazer um trabalho para a UNICAMP.</br>
2. Fazer um trabalho na UNICAMP.</br>
3. Fazer um trabalho sobre a UNICAMP.</br>
4. Fazer um trabalho como a UNICAMP.</br>
5. Fazer um trabalho com a UNICAMP.</p>
<p>Observe as possíveis variações de sentido e preencha os parênteses na ordem que reproduz uma
correspondência adequada entre exemplos e seus significados.</p>
<p>( ) A UNICAMP sediou a realização do trabalho.</br>
( ) O trabalho foi feito em parceria com a UNICAMP.</br>
( ) A UNICAMP foi tema do trabalho.</br>
( ) O trabalho seguiu a linha proposta pela UNICAMP.</br>
( ) A UNICAMP solicitou o trabalho.</p>
<p>Assinale, agora, a alternativa que contém a sequência CORRETA:</p>",2 – 5 – 3 – 4 - 1,2 – 3 – 1 – 5 - 4,5 – 2 – 3 – 1 - 4,5 – 2 – 1 – 4 - 3,4 – 5 – 2 – 3 - 1,a,,Cotuca,2010,2,M,3,"conector, preposição, conjunção"
